1. Pst: 0.6, PT: 0.5174635043513829
2. Pst: 0.619, PT: 0.5174635043513829
3. Pst: 0.601, PT: 0.5174635043513829
4. Pst: 0.635, PT: 0.5174635043513829
5. Pst: 0.607, PT: 0.5174635043513829
6. Pst: 0.602, PT: 0.5174635043513829
7. Pst: 0.615, PT: 0.5174635043513829
8. Pst: 0.609, PT: 0.5174635043513829
9. Pst: 0.637, PT: 0.5174635043513829
10. Pst: 0.607, PT: 0.5174635043513829
11. Pst: 0.602, PT: 0.5174635043513829
12. Pst: 0.614, PT: 0.5174635043513829
13. Pst: 0.612, PT: 0.5174635043513829
14. Pst: 0.608, PT: 0.5174635043513829
15. Pst: 0.599, PT: 0.5174635043513829
